Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.0477,1295686,cyan,bobtail,arcreactor,chronic,kalahari,swampgreen,saycheese,orangesoda,,0,Swift Cooldown ,2
0.0482,1404914,dahlia,chartreux,luckystripe,serpent,azaleablush,lilac,wuvme,cottoncandy,wyrm,0,Slow Cooldown ,18
0.0497,1394384,dahlia,selkirk,tiger,wiley,kalahari,lemonade,moue,cinderella,featherbrain,0,Swift Cooldown ,2
0.05,1300408,topaz,pixiebob,leopard,chronic,kittencream,butterscotch,rollercoaster,brownies,wyrm,0,Slow Cooldown ,19
0.05,1315820,cyan,koladiviya,mittens,thicccbrowz,kittencream,scarlet,rollercoaster,cloudwhite,,0,Plodding Cooldown ,16
0.05,1347853,thundergrey,selkirk,totesbasic,baddate,icy,violet,grimace,mauveover,,0,Plodding Cooldown ,15
0.05,1302014,gemini,selkirk,amur,thicccbrowz,purplehaze,skyblue,confuzzled,greymatter,,0,Swift Cooldown ,5
0.05,1399261,cyan,munchkin,spock,crazy,daffodil,lemonade,gerbil,cottoncandy,,0,Swift Cooldown ,3
0.05,1314390,olive,koladiviya,calicool,raisedbrow,kittencream,rosequartz,soserious,cloudwhite,,0,Plodding Cooldown ,15
0.05,1326459,dahlia,savannah,totesbasic,chronic,kittencream,swampgreen,soserious,cottoncandy,,0,Fast Cooldown ,1
0.05,1327637,gold,selkirk,camo,asif,morningglory,lemonade,whixtensions,koala,,0,Brisk Cooldown ,4
0.05,1305689,forgetmenot,selkirk,totesbasic,chronic,sully,skyblue,cheeky,cottoncandy,,0,Snappy Cooldown ,9
0.05,1331591,topaz,munchkin,arcreactor,crazy,sully,barkbrown,confuzzled,koala,elk,0,Slow Cooldown ,9
0.05,1313600,olive,munchkin,amur,raisedbrow,granitegrey,chocolate,saycheese,cinderella,,0,Plodding Cooldown ,14
0.05,1333184,strawberry,munchkin,arcreactor,caffeine,sully,coffee,confuzzled,greymatter,,0,Snappy Cooldown ,9
0.05,1346205,parakeet,selkirk,rorschach,wonky,icy,lemonade,wuvme,mauveover,,0,Swift Cooldown ,2
0.05,1347987,coralsunrise,mainecoon,ganado,thicccbrowz,buttercup,swampgreen,wasntme,mauveover,,0,Snappy Cooldown ,7
0.05,1336302,kaleidoscope,selkirk,totesbasic,slyboots,frosting,egyptiankohl,fangtastic,oldlace,,0,Catatonic Cooldown ,20
0.05,1327276,olive,koladiviya,thunderstruck,wiley,sandalwood,coffee,happygokitty,brownies,,0,Fast Cooldown ,1
